code,term
313039003,Solid organ transplant to recipient
316054003,[V]Kidney transplanted
316055002,[V]Heart transplanted
316060003,[V]Lung transplanted
316061004,[V]Liver transplanted
32413006,Transplantation of heart
32477003,Heart-lung transplant with recipient cardiectomy-pneumonectomy
33167004,Complication of transplanted liver
345797001,Autotransplantation of pancreatic tissue
366961000000102,Renal transplant recipient
399241000000100,[V]Kidney transplanted
405768001,Autotransplantation of heart
416091000000102,[V]Heart transplanted
419139005,Fluoroscopic angiography of renal transplant with contrast
419224002,Angioplasty of renal transplant using fluoroscopic guidance with contrast
420106004,Fluoroscopic venography of renal transplant with contrast
425616008,Transplantation of ileum
426136000,Delayed renal graft function
426356008,Orthotopic transplantation of whole liver
426463009,Allotransplantation of ileum
426984008,Allotransplantation of thymus gland
427889009,Hypertension associated with transplantation
427927008,Disorder related to cardiac transplantation
427928003,Disorder related to lung transplantation
428198008,Transplantation of hepatocytes
428575007,Hypertension secondary to kidney transplant
428645009,Examination of recipient after kidney transplant
429257001,Disorder of transplanted heart
429332008,Transplantation of single lobe of lung
429451003,Disorder related to renal transplantation
429490004,Disorder affecting transplanted structure
431186002,Accelerated rejection of cardiac transplant
431222008,Acute rejection of liver transplant
431223003,Acute rejection of lung transplant
431505005,Rejection of intestine transplant
431506006,Rejection of pancreas transplant
431507002,Accelerated rejection of lung transplant
431896008,Chronic rejection of cardiac transplant
431988002,Doppler ultrasonography of transplanted kidney
432772009,Hyperacute rejection of liver transplant
432773004,Hyperacute rejection of cardiac transplant
432774005,Hyperacute rejection of lung transplant
432777003,Accelerated rejection of liver transplant
432843002,Acute rejection of cardiac transplant
432908002,Chronic rejection of liver transplant
432958009,Chronic rejection of lung transplant
433592008,Acute rejection of pancreas transplant
433600001,Hyperacute rejection of intestine transplant
433804007,Accelerated rejection of intestine transplant
433809002,Accelerated rejection of pancreas transplant
434202008,Hyperacute rejection of pancreas transplant
434238001,Acute rejection of intestine transplant
434270001,Chronic rejection of intestine transplant
434271002,Chronic rejection of pancreas transplant
440449002,Magnetic resonance angiography of transplanted kidney
440512006,Biopsy of transplanted kidney using ultrasound guidance
44165003,Complication of transplanted lung
443578000,Radionuclide imaging of transplanted kidney
444855007,Arteriosclerosis of coronary artery bypass graft of transplanted heart
445260006,Posttransplant diabetes mellitus
445261005,Posttransplant hyperlipidemia
447981001,Allotransplantation of islets of Langerhans
448196000,Fluoroscopic venography of transplanted pancreas using contrast
450816007,Revision of transplantation of heart
464371000000107,[V]Lung transplanted
464381000000109,[V]Liver transplanted
47058000,Heart transplant with recipient cardiectomy
471851005,Disorder of myocardium associated with rejection of cardiac transplant
473195006,Renal function of transplanted kidney within reference range
48994000,Renal homotransplantation with unilateral recipient nephrectomy
507571000000102,Radionuclide study of transplanted kidney
52213001,Renal homotransplantation excluding donor and recipient nephrectomy
538521000000107,Other specified transplantation of liver
550501000000102,Transplantation of lung NOS
552991000000104,Transplantation of pancreas NOS
555141000000100,Other specified transplantation of lung
555681000000104,Other specified transplantation of pancreas
562851000000107,Allotransplantation of heart NEC
568721000000106,Other specified transplantation of heart and lung
586331000000109,Revision of transplantation of heart NEC
586341000000100,Transplantation of heart and lung NOS
586351000000102,Other transplantation of heart
58797008,Disorder due to and following transplant of kidney
595961000000105,Transplantation of liver NOS
595991000000104,Other specified other transplantation of heart
596001000000100,Other transplantation of heart NOS
61535006,Transplantation of spleen
622431000000104,Other specified transplantation of kidney
622441000000108,Transplantation of kidney NOS
62438007,Transplantation of pancreas
62511003,Autotransplant of lung
6471000179103,Transplantation of kidney and pancreas
6501000179109,Laparoscopic biopsy of transplanted kidney
6571000179102,Percutaneous needle biopsy of transplanted pancreas
6591000179103,Laparoscopic biopsy of transplanted pancreas
6661000119101,Coronary arteriosclerosis in native artery of transplanted heart
67562009,Heterotransplant of pancreas
698362007,History of transplantation of pancreas
698367001,History of transplantation of intestine
702775001,Lung transplant recipient
702776000,Heart transplant recipient
702777009,Liver transplant recipient
703048006,Vesicoureteric reflux after renal transplant
70536003,Transplant of kidney
707148007,Recurrent renal disease following transplantation of kidney
711411006,Allotransplantation of kidney from beating heart cadaver
711413009,Allotransplantation of kidney from non-beating heart cadaver
711417005,Doppler ultrasonography of blood vessel of organ transplant
711446003,Transplantation of kidney regime
713825007,Renal artery stenosis of transplanted kidney
714153000,Chronic kidney disease stage 5 with transplant
716805003,Heart-lung transplant recipient
718030008,Antegrade insertion of stent into transplanted ureter using fluoroscopic guidance
718031007,Retrograde insertion of stent into transplanted ureter using fluoroscopic guidance
718078008,Doppler ultrasonography of transplanted liver
719352000,Kidney transplant recipient
71947008,Homotransplant of pancreas
722958008,Infectious mononucleosis-like post-transplant lymphoproliferative disorder
737295003,Transplanted kidney present
737296002,Transplanted lung present
737297006,Transplanted liver present
737298001,Transplanted bone present
739024006,Transplanted heart present
739025007,Transplanted heart-lung present
739027004,Transplanted skin present
76077004,Total pancreatectomy with transplantation
762618008,Bronchiolitis obliterans syndrome due to and after lung transplantation
764643003,Removal of nephrostomy tube from transplanted kidney using fluoroscopic guidance
765478004,Allotransplantation of left kidney
765479007,Allotransplantation of right kidney
782655004,Laparoscopic transplant of kidney using robotic assistance
784266000,History of heart-lung transplant recipient
792842004,Coronary arteriosclerosis in artery of transplanted heart
79369007,Complication of transplanted pancreas
799151000000107,Transplantation of fascia
805261000000101,Bronchiolitis obliterans syndrome after lung transplantation
807651000000109,Bronchiolitis obliterans syndrome after lung transplantation
816079005,Vascularized composite allotransplantation
820361000000105,Allotransplantation of lobe of lung from live donor
830871000000105,Acute-on-chronic rejection of renal transplant
830881000000107,Acute rejection of renal transplant - grade I
830891000000109,Acute rejection of renal transplant - grade II
830901000000105,Acute rejection of renal transplant - grade III
830931000000104,Acute rejection of renal transplant
834931000000108,Accelerated rejection of renal transplant
843691000000100,Urological complication of renal transplant
843701000000100,Urological complication of renal transplant 
843901000000103,Allogeneic transplantation of pancreatic islet cells
844661000000109,Vascular complication of renal transplant
844671000000102,Vascular complication of renal transplant 
847791000000101,Rupture of artery of transplanted kidney
847881000000107,Stenosis of vein of transplanted kidney
852981000000100,Aneurysm of vein of transplanted kidney
853021000000108,Aneurysm of artery of transplanted kidney
853761000000103,Living donor liver transplantation
855271000000103,Very mild acute rejection of renal transplant
856681000000105,Chronic rejection of renal transplant
856691000000107,Chronic rejection of renal transplant - grade 1
856701000000107,Chronic rejection of renal transplant - grade II
856711000000109,Chronic rejection of renal transplant - grade III
856931000000103,Unexplained episode of renal transplant dysfunction
857241000000102,Xenograft renal transplant
