code,term
1005671000000105,Serum cholesterol level
1017161000000104,Plasma total cholesterol level
1083761000000106,Serum fasting total cholesterol level
1106531000000105,Substance concentration of cholesterol in plasma
1106541000000101,Substance concentration of cholesterol in serum
850981000000101,Cholesterol level
853681000000104,Total cholesterol level
994351000000103,Serum total cholesterol level
